TEAM_ABBREVIATION,N_SHOTS,EXPOSURE_PER_SHOT,PREMATURE,MEAN_SECOND,SEASON
MIN,6351,0.007106356690437342,0.10344827586206896,11.818611242324044,2017
NOP,6581,0.006470630562702439,0.07567239021425315,13.261054550980095,2017
NYK,6535,0.005729806015203919,0.07543993879112472,12.276511094108645,2017
OKC,6519,0.002821624506671588,0.042951372909955515,13.098021168890934,2017
ORL,6418,0.004079777822957709,0.05001558117793705,12.483016516048613,2017
PHI,6502,0.008576280826406659,0.08966471854813904,13.232851430329129,2017
PHX,6449,0.0024774373971757084,0.030702434485966816,12.816870832687238,2017
POR,6490,0.005236297592357088,0.06918335901386749,12.080585516178736,2017
SAC,6376,0.007403784201552825,0.09425972396486826,11.953575909661229,2017
SAS,6282,0.00437875138159351,0.05332696593441579,11.696275071633238,2017
TOR,6467,0.006693436453184688,0.06896551724137931,12.66120303077161,2017
UTA,6182,0.007099141216527546,0.07004205758654157,12.012455516014235,2017
WAS,6411,0.005493025609238516,0.06332865387615037,12.291842146311028,2017
ATL,7101,0.005463172824519506,0.045345725954090976,12.540768905787917,2018
BKN,6863,0.0029488176699788257,0.03395016756520472,12.081305551508088,2018
BOS,7003,0.003728356429659398,0.045694702270455516,12.036555761816365,2018
CHA,6808,0.004861672705820265,0.05464159811985899,11.693448883666274,2018
CHI,6707,0.004602538990501259,0.04756224839719696,11.59460265394364,2018
CLE,6526,0.0032034503850075194,0.04045357033404842,11.099448360404535,2018
DAL,6674,0.0030232966272803782,0.031315552891819,11.461342523224452,2018
DEN,6885,0.005145340717433413,0.05824255628177197,11.598692810457516,2018
DET,6539,0.004922051463746995,0.05948921853494418,11.135494723963909,2018
GSW,6969,0.007363875938317111,0.0845171473669106,12.235040895393887,2018
HOU,6603,0.005663867380905922,0.05118885355141602,11.417386036650008,2018
IND,6638,0.003643888296081289,0.04865923470924977,11.692377222054835,2018
LAC,6697,0.002231417725964822,0.028818874122741527,12.0328505300881,2018
LAL,6928,0.0029932122016564523,0.037384526558891455,12.429705542725173,2018
MEM,6333,0.0021403303107050842,0.025738196747197222,11.060476867203537,2018
MIA,6658,0.007148643423439337,0.07870231300690898,11.364824271553019,2018
MIL,6977,0.003909729202218528,0.04500501648272897,12.493048588218432,2018
MIN,7022,0.002892727451158712,0.03987467957846767,11.733266875534035,2018
NOP,7143,0.0045255858147713835,0.05375892482150357,12.446871062578749,2018
NYK,6728,0.0017286932240069039,0.021551724137931036,11.704518430439952,2018
OKC,7287,0.0020408758802788994,0.02703444490188006,13.076849183477426,2018
ORL,6820,0.003857782085708857,0.04926686217008798,11.441935483870967,2018
PHI,6769,0.002481624382335538,0.029546461811198108,12.178756093957748,2018
PHX,6694,0.002146759091804419,0.027039139527935463,11.598595757394682,2018
POR,6940,0.002752402253713921,0.03876080691642651,11.3321325648415,2018
SAC,7141,0.005758764445376974,0.06609718526816973,12.80969051953508,2018
SAS,6824,0.0038510984433440575,0.054366940211019926,11.238569753810083,2018
TOR,6727,0.0035394963776438997,0.03879887022446856,12.118626430801248,2018
UTA,6677,0.004862682276744761,0.053017822375318255,11.7695072637412,2018
WAS,6943,0.0033563221052133347,0.03903211868068558,12.201209851649143,2018
ATL,5700,0.0028814600515112707,0.030526315789473683,12.358070175438597,2019
BKN,6120,0.003286685467173571,0.03300653594771242,11.952287581699347,2019
BOS,6034,0.005463726772543095,0.056678820019887305,11.617335101093802,2019
CHA,5174,0.006297744199677208,0.06146115191341322,11.253768844221106,2019
CHI,5357,0.0024913494712326604,0.031174164644390517,12.115363076348702,2019
CLE,5234,0.00337843142390221,0.037638517386320215,11.38823079862438,2019
DAL,6353,0.004439010722064093,0.04674956713363765,11.515976703919408,2019
DEN,5922,0.005395912515004613,0.06197230665315772,11.457953394123606,2019
DET,5190,0.004066974860249732,0.04508670520231214,11.271676300578035,2019
GSW,5348,0.0028781827873589085,0.036088257292445775,11.839566192969334,2019
HOU,6130,0.002541289131390788,0.033931484502446985,12.515171288743883,2019
IND,6018,0.0036201217454124375,0.045862412761714856,11.67098703888335,2019
LAC,5965,0.0025595996867450537,0.03956412405699916,12.187594300083822,2019
LAL,5846,0.002440725940030561,0.03814574067738625,11.984262743756414,2019
MEM,6291,0.003758580016662068,0.03942139564457161,12.236210459386426,2019
MIA,5628,0.004611777704820369,0.05525941719971571,11.287313432835822,2019
MIL,6295,0.003104646770481111,0.033836378077839555,12.67513899920572,2019
MIN,5506,0.002716211312261956,0.028332727933163823,12.15274246276789,2019
NOP,6227,0.0032006788339259983,0.03741769712542155,12.58278464750281,2019
NYK,5505,0.0041005662566975165,0.05594913714804723,11.523342415985468,2019
OKC,5627,0.004320066248773188,0.04780522480895682,11.668740003554293,2019
ORL,6017,0.0024124551089562585,0.027754695030746217,11.565065647332558,2019
PHI,5979,0.002965630685135236,0.04014049172102358,11.376818866031108,2019
PHX,6080,0.002659394754388722,0.03700657894736842,11.85345394736842,2019
POR,6298,0.002529444431716445,0.032550015878056525,11.678469355350906,2019
SAC,5927,0.0031967710103557733,0.04116753838366796,11.90129913953096,2019
SAS,5962,0.0023415263962694188,0.03237168735323717,11.735323716873532,2019
TOR,5782,0.002006486015841769,0.0236942234520927,12.158249740574195,2019
UTA,5751,0.004899412271338144,0.04938271604938271,11.353677621283255,2019
WAS,6159,0.0035111145388898486,0.03831790875142069,12.375385614547817,2019
ATL,5805,0.007700227886831521,0.08475452196382428,11.583290267011197,2020
BKN,5901,0.005067848070465321,0.05185561769191662,12.091170987968141,2020
BOS,5943,0.008805756374640226,0.08514218408211341,11.570587245498906,2020
CHA,5881,0.005969645058421632,0.06274443121918041,11.887094031627274,2020
CHI,5945,0.007266548176108429,0.08124474348191758,11.553742640874685,2020
CLE,5619,0.002648524005018891,0.030966364121729845,11.220323901050008,2020
DAL,5867,0.004111615398520322,0.05386057610363047,11.315493437872847,2020
DEN,5921,0.007765325806813063,0.08056071609525418,11.40280358047627,2020
DET,5564,0.00787462263727065,0.0715312724658519,11.254672897196262,2020
GSW,5959,0.005425689024948875,0.0594059405940594,12.12351065615036,2020
HOU,5891,0.004950397050381529,0.05041588864369377,11.823629264980479,2020
IND,6191,0.002959557741548902,0.031820384429009856,12.516394766596672,2020
LAC,5822,0.008971038914975618,0.11748540020611474,11.37615939539677,2020
LAL,5719,0.0028795564687995167,0.037419129218394825,11.579821647141108,2020
MEM,6269,0.0045976265523899485,0.057584941776997925,12.233051523368959,2020
MIA,5571,0.0031417925241476064,0.04002872015796087,11.46939508167295,2020
MIL,6237,0.006327557313363706,0.07054673721340388,12.627224627224628,2020
MIN,6161,0.003990174956396686,0.03733160201266028,12.018341178380133,2020
NOP,5987,0.005603486709813339,0.055119425421747116,12.087021880741608,2020
NYK,5733,0.006494309882184825,0.07936507936507936,10.960230245944532,2020
OKC,5897,0.005704125414151664,0.05307783618789215,11.894013905375616,2020
ORL,5996,0.003134640253731204,0.03819212808539026,11.421781187458306,2020
PHI,5774,0.003928824262810262,0.04589539314166955,11.636473848285418,2020
PHX,5933,0.006498991070179219,0.07045339625821675,11.67318388673521,2020
POR,6163,0.004811362182151538,0.05808859321758884,11.42527989615447,2020
SAC,5956,0.005168496651231135,0.05809267965077233,12.146406984553392,2020
SAS,6123,0.004400283520212562,0.04572921770374,11.506614404703576,2020
TOR,5880,0.007257243046183015,0.06377551020408163,11.979591836734693,2020
UTA,5947,0.004567477649589203,0.05027745081553724,11.934588868336977,2020
WAS,6204,0.006215137200853588,0.07059961315280464,12.550451321727918,2020
ATL,6764,0.002556932725859497,0.03976936723832052,11.735807214665877,2021
BKN,6746,0.0022927488486798836,0.02920249036466054,11.888378298250815,2021
BOS,6630,0.00591848999588432,0.067420814479638,11.450226244343892,2021
CHA,6978,0.0065398012296295,0.0703640011464603,12.109916881627974,2021
CHI,6642,0.002606639052874243,0.031014754591990365,11.591689250225835,2021
CLE,6288,0.0027694652804445075,0.03228371501272265,11.255884223918574,2021
DAL,6450,0.002215096623250949,0.02945736434108527,11.022635658914728,2021
DEN,6525,0.003990304428932179,0.0485823754789272,11.393409961685824,2021
DET,6705,0.0028379668694300114,0.035495898583146904,11.575540641312454,2021
GSW,6631,0.004495498815915073,0.049615442618006336,11.845121399487256,2021
HOU,6545,0.005630509275474888,0.0507257448433919,11.559052711993889,2021
IND,6890,0.004191499362736147,0.046153846153846156,11.923367198838896,2021
LAC,6694,0.002485968509287513,0.028383627128772036,11.690469076785181,2021
LAL,6696,0.003365977278153823,0.038231780167264036,11.906810035842295,2021
MEM,7244,0.004839102881859405,0.05728879072335726,12.161789066813915,2021
MIA,6420,0.0047823413352476194,0.057476635514018694,11.382398753894082,2021
MIL,6907,0.0031737459338595643,0.04314463587664688,12.202692920225857,2021
MIN,6984,0.005069328026399358,0.05283505154639175,12.229095074455898,2021
NOP,6675,0.0037046001408367873,0.04389513108614232,11.665318352059925,2021
NYK,6539,0.00219752935091841,0.029056430646887902,11.277259519804252,2021
OKC,6792,0.003508899292556898,0.04210836277974087,11.877355712603062,2021
ORL,6723,0.002659477789560434,0.029748624126134167,11.894838613714116,2021
PHI,6340,0.002151057632574419,0.027129337539432176,11.071293375394323,2021
PHX,6912,0.006585079126639953,0.07074652777777778,11.960358796296296,2021
POR,6693,0.0028957951503939703,0.03346780218138354,11.556252801434335,2021
SAC,6734,0.0021755174841892213,0.029403029403029402,12.12949212949213,2021
SAS,7163,0.004434622052254521,0.04690772022895435,12.295406952394249,2021
TOR,6875,0.007026973544100006,0.06938181818181818,11.628509090909091,2021
UTA,6550,0.00603869635187177,0.06381679389312978,11.512824427480917,2021
WAS,6567,0.004147619769487003,0.047358002131871475,11.337901629358916,2021
ATL,7156,0.003103577431239238,0.04024594745667971,12.228619340413639,2022
BKN,6470,0.0023918874516389217,0.027820710973724884,11.824884080370943,2022
BOS,6754,0.007505652815627285,0.07610305004441813,11.561741190405685,2022
CHA,6961,0.003434975792995209,0.03907484556816549,11.953311305846862,2022
CHI,6637,0.0022688573337294646,0.03149013108332078,11.813319270754858,2022
CLE,6389,0.0021441210570112847,0.032712474565659726,11.140084520269212,2022
DAL,6428,0.002441806112953022,0.030336029869321716,11.01337896701929,2022
DEN,6551,0.005237819774631673,0.05693787208059838,11.64539764921386,2022
DET,6662,0.003311799864148347,0.037826478534974485,11.502251576103273,2022
GSW,6951,0.0062837073648674335,0.07538483671414185,12.125449575600634,2022
HOU,6748,0.008342650504829517,0.07483698873740367,11.350918790752816,2022
IND,6875,0.0034551184168685294,0.03563636363636364,12.45949090909091,2022
LAC,6498,0.0034675435413146207,0.04016620498614958,11.547706986765158,2022
LAL,6828,0.002415906139108317,0.040568248388986525,11.937024018746339,2022
MEM,7088,0.0030354304321809043,0.03668171557562077,12.353414221218962,2022
MIA,6439,0.0030320435075241636,0.039136511880726824,11.239944090697314,2022
MIL,6918,0.004109872026589235,0.059265683723619546,11.981208441746169,2022
MIN,6697,0.0044233625292542005,0.04927579513214873,11.825742869941765,2022
NOP,6723,0.004405856486619022,0.05057266101442808,11.820913282760673,2022
NYK,6750,0.005261566679070194,0.06770370370370371,11.307407407407407,2022
OKC,7115,0.0032716856065828862,0.03893183415319747,12.35671117357695,2022
ORL,6618,0.005087119661293753,0.055001511030522816,11.765941372015714,2022
PHI,6287,0.003942111999408586,0.04787657070144743,11.10625099411484,2022
PHX,6869,0.004059602487786356,0.05342844664434415,11.633425535012375,2022
POR,6523,0.0029980643045720607,0.0357197608462364,11.385405488272268,2022
SAC,6804,0.004608369180224419,0.062169312169312166,12.45487948265726,2022
SAS,7152,0.004413347791405284,0.052712527964205814,12.135766219239374,2022
TOR,6940,0.0037081622829816525,0.044524495677233426,11.549135446685879,2022
UTA,6883,0.007266246431399905,0.0723521720180154,11.893360453290716,2022
WAS,6621,0.005666099304321669,0.06132004228968434,11.333182298746413,2022
ATL,7133,0.00455553875450983,0.04892751997756904,12.094490396747512,2023
BKN,6752,0.0029160017340867724,0.03658175355450237,11.684982227488153,2023
BOS,6880,0.010687949120137602,0.10552325581395348,11.565116279069768,2023
CHA,6612,0.003727640683865808,0.042800967937084086,11.466122202056866,2023
CHI,6789,0.0021811217115260896,0.0319634703196347,11.579466784504346,2023
CLE,6615,0.002651009093663879,0.0380952380952381,11.548904006046863,2023
DAL,6906,0.0026937049369019452,0.03113234868230524,11.970605270779032,2023
DEN,6661,0.0066822892424492535,0.07566431466746734,11.382675273982885,2023
