SEASON,TEAM,BLOCK,PREMATURE,N_SHOTS,MEAN_SHOT_VALUE,MEAN_SECOND,PPP,N_POSS,NEXT_BLOCK,NEXT_PPP,NEXT_N_POSS
2018,MIN,0,0.0935672514619883,1710,1.2101813032414468,11.890643274853801,1.105814562598219,1909,1,1.1483663631494376,1867
2018,MIN,1,0.0763765541740675,1689,1.221360118536108,11.59384251036116,1.1483663631494376,1867,2,1.1663101604278074,1870
2018,MIN,2,0.08057971014492754,1725,1.2203817633525655,11.601159420289855,1.1663101604278074,1870,3,1.1519582245430808,1915
2018,NOP,0,0.04751131221719457,1768,1.2346341699447232,12.634615384615385,1.167857142857143,1960,1,1.1481678173127987,1883
2018,NOP,1,0.0487071557426338,1663,1.2191918515277698,12.409500901984366,1.1481678173127987,1883,2,1.138743455497382,1910
2018,NOP,2,0.04462712859659425,1703,1.2407039672589788,12.365825014679977,1.138743455497382,1910,3,1.0918467583497053,2036
2018,NYK,0,0.06001188354129531,1683,1.1983140784451163,11.620915032679738,1.1085561497326204,1870,1,1.0818467995802727,1906
2018,NYK,1,0.07448036951501155,1732,1.189774215955944,12.088337182448036,1.0818467995802727,1906,2,1.0561307901907357,1835
2018,NYK,2,0.0780274656679151,1602,1.2060342054703752,11.68601747815231,1.0561307901907357,1835,3,1.058759521218716,1838
2018,OKC,0,0.05704506560182544,1753,1.2659717648588953,12.698231602966343,1.1028331584470095,1906,1,1.1196712891628147,1947
2018,OKC,1,0.05797933409873708,1742,1.2533803218926485,13.340987370838118,1.1196712891628147,1947,2,1.1865079365079365,2016
2018,OKC,2,0.05133806663025669,1831,1.2592058434201465,13.258874931731294,1.1865079365079365,2016,3,1.1090524086818423,1889
2018,ORL,0,0.04733373277411624,1669,1.1925286977372063,11.352905931695625,1.090566037735849,1855,1,1.0550305725403002,1799
2018,ORL,1,0.04331450094161959,1593,1.1783793684613362,11.24795982423101,1.0550305725403002,1799,2,1.142085359265262,1851
2018,ORL,2,0.03214285714285714,1680,1.193794490776579,11.379761904761905,1.142085359265262,1851,3,1.148509485094851,1845
2018,PHI,0,0.04747413268411443,1643,1.224803855178007,12.273280584297018,1.0969543147208123,1970,1,1.1585811163275952,1917
2018,PHI,1,0.020024271844660196,1648,1.2500635125692712,12.158373786407767,1.1585811163275952,1917,2,1.1924090669478122,1897
2018,PHI,2,0.026875,1600,1.2560764416110388,12.165625,1.1924090669478122,1897,3,1.1430062630480167,1916
2018,PHX,0,0.03428571428571429,1575,1.2362884655766713,11.101587301587301,1.0675310642895732,1851,1,1.080020920502092,1912
2018,PHX,1,0.02142857142857143,1680,1.2494738110821275,11.536309523809523,1.080020920502092,1912,2,1.0635005336179295,1874
2018,PHX,2,0.027743526510480888,1622,1.2370461591442241,11.958076448828606,1.0635005336179295,1874,3,1.1123476417594065,1887
2018,POR,0,0.04929577464788732,1704,1.2237905907027986,11.384976525821596,1.129287598944591,1895,1,1.117078410311493,1862
2018,POR,1,0.04156479217603912,1636,1.2388929951971872,11.191320293398533,1.117078410311493,1862,2,1.2244242099625067,1867
2018,POR,2,0.03757225433526012,1730,1.2456608353752556,11.484971098265897,1.2244242099625067,1867,3,1.1736590546999468,1883
2018,SAC,0,0.11460151250727167,1719,1.1821953565837868,12.927283304246656,1.1096873398257303,1951,1,1.1494845360824741,1940
2018,SAC,1,0.06342015855039637,1766,1.2278037546068346,13.006795016987542,1.1494845360824741,1940,2,1.0925155925155925,1924
2018,SAC,2,0.08362369337979095,1722,1.2045231622735149,12.595238095238095,1.0925155925155925,1924,3,1.160883280757098,1902
2018,SAS,0,0.0359882005899705,1695,1.1909427669996828,10.96283185840708,1.1294810058855003,1869,1,1.1880108991825613,1835
2018,SAS,1,0.04655493482309125,1611,1.1996321825736431,11.282433271260087,1.1880108991825613,1835,2,1.152,1875
