TEAM_ABBREVIATION,SHOT_FAMILY,CLOCK_PHASE,POSSESSION_CONTEXT,N_SHOTS,PREMATURE,EXPOSURE_PER_SHOT,TOTAL_EXPOSURE,MEAN_SHOT_VALUE,LEAGUE_N,LEAGUE_EXPOSURE,TEAM_SHOTS,TEAM_EXPOSURE,SHOT_SHARE,EXPOSURE_SHARE,EXPECTED_TOTAL_EXPOSURE
DEN,rim,late (0–7),rebound push,528,0.026515151515151516,0.0036478083195848137,1.9260427927407817,1.3265989800212385,13518,0.003873904942650122,44581,522.2840105031128,0.01184361050671811,0.0036877307250617096,2.0454218097192642
DEN,rim,late (0–7),second chance,144,0.020833333333333332,0.0009545779046834096,0.137459218274411,1.352511474960044,3903,0.0016886623877104521,44581,522.2840105031128,0.0032300755927413024,0.00026318863972496005,0.24316738383030512
DEN,rim,late (0–7),turnover attack,215,0.03255813953488372,0.002700414151243744,0.580589042517405,1.3519498620648234,6300,0.0027858161705283783,44581,522.2840105031128,0.004822682308606806,0.001111634725248677,0.5989504766636013
DEN,rim,middle (8–15),after a score,2849,0.08073008073008073,0.010513403712095824,29.952687175761003,1.3861822135553696,80264,0.006276070530141061,44581,522.2840105031128,0.06390614835916646,0.057349424017227285,17.880524940371885
DEN,rim,middle (8–15),other dead ball,480,0.1,0.01675222752955732,8.041069214187514,1.3785506196345776,13325,0.00717740353863139,44581,522.2840105031128,0.010766918642471007,0.015395970492073087,3.4451536985430673
DEN,rim,middle (8–15),rebound push,1784,0.09360986547085202,0.012918400450981232,23.046426404550516,1.3516009346360538,48083,0.007346732546098074,44581,522.2840105031128,0.04001704762118391,0.044126233890158816,13.106570862238964
DEN,rim,middle (8–15),second chance,1336,0.040419161676646706,0.004891744952062571,6.535371255955595,1.3786129455492058,36772,0.002271262334085996,44581,522.2840105031128,0.029967923554877637,0.01251306018283063,3.0344064783388904
DEN,rim,middle (8–15),turnover attack,546,0.07692307692307693,0.01197989806103048,6.541024341322642,1.3956562646053268,17089,0.006075804770359153,44581,522.2840105031128,0.012247369955810772,0.012523883959269051,3.3173894046160974
DEN,rim,early (16–23),after a score,476,0.13655462184873948,0.013746664238388322,6.543412177472841,1.4129169419148926,16978,0.007446752802776915,44581,522.2840105031128,0.010677194320450415,0.012528455870532232,3.5446543341218115
DEN,rim,early (16–23),other dead ball,176,0.1534090909090909,0.020529422443820777,3.613178350112457,1.3948380865869865,4068,0.01363511546828802,44581,522.2840105031128,0.003947870168906036,0.006918033631992497,2.3997803224186915
DEN,rim,early (16–23),rebound push,2298,0.12010443864229765,0.010910303041189135,25.071876388652633,1.4391542528598984,67256,0.007182983062180963,44581,522.2840105031128,0.05154662300082995,0.04800429629178397,16.506495076891852
DEN,rim,early (16–23),second chance,899,0.20467185761957732,0.020700546297422386,18.609791121382724,1.3019882832704055,24145,0.0127614196941752,44581,522.2840105031128,0.02016554137412799,0.03563155437872975,11.472516305063504
