SEASON,TEAM_ABBREVIATION,TEAM_ID,OVERLAP,PRIOR_QUALITY,TEAM_FGA,TEAM_PTS_FG,TEAM_XPTS,N_CORE,FGA,FTA,TOV,ORB,FGM,FTM,POSS,ORTG_FG,PTS_PER_FGA,PTS_VS_XPTS
2020,DET,,0.8821478529250186,1.0744568758986064,5820,6109,6054.886179825591,8,6030,1668,1054,883,2740,1272,6934.92,88.0904177697796,1.0496563573883162,0.009297907246461998
2020,GSW,,0.9337192529878907,0.9740310001020737,6143,6805,6673.256495206612,8,6253,1512,1098,760,2947,1183,7256.28,93.78083535916475,1.10776493569917,0.0214461183124512
2020,HOU,,0.958315603257626,1.065980883591972,6115,6420,6654.433343893481,8,6268,1608,1070,863,2782,1186,7182.52,89.38367035525135,1.0498773507767785,-0.03833742336769925
2020,IND,,0.9101375724548318,1.0624041337651917,6388,6973,7132.645512422135,8,6469,1478,954,862,3071,1173,7211.32,96.69519588646739,1.091577958672511,-0.02499147032281383
2020,LAC,,0.8959209361494216,1.0446904345541432,6019,6843,6481.313324597502,8,6151,1429,933,864,2962,1188,6848.76,99.91589718430781,1.1368998172453897,0.06009082495472632
2020,LAL,,0.8954573928747505,1.084165195558196,5938,6422,6482.693732324875,8,6107,1621,1143,903,2884,1216,7060.24,90.96008067714412,1.081508925564163,-0.010221241550164175
2020,MEM,,0.9062792691297845,1.0799478692194777,6453,6855,7008.369878868032,8,6528,1533,893,1026,3057,1195,7069.52,96.96556484740123,1.0622966062296606,-0.023767221271971513
2020,MIA,,0.8225438248531115,1.1063454971190083,5790,6351,6345.609707372612,8,5945,1510,962,763,2793,1183,6808.4,93.28182832971036,1.0968911917098445,0.0009309659114659206
2020,MIL,,0.9149209174943751,1.097486351134868,6427,7291,7131.552202371953,8,6522,1472,928,920,3185,1131,7177.68,101.5787831165502,1.1344328613661117,0.02480905517785076
2020,MIN,,0.9538414367908498,1.0403444439506024,6354,6652,6964.789642290983,8,6450,1666,1002,992,2901,1294,7193.04,92.47828456396739,1.0468995908089394,-0.04922720212322672
2020,NOP,,0.8190945933797477,1.0815745309203855,6191,6662,6708.81279051503,8,6326,1824,988,1042,3018,1336,7074.56,94.16840057897593,1.076078178000323,-0.007561426347121697
2020,NYK,,0.9021590309362046,0.9809915843349974,5977,6294,6181.168655600992,8,6126,1471,890,884,2796,1150,6779.24,92.84226550468784,1.0530366404550777,0.018877588154426674
2020,OKC,,0.9552099742480886,0.8302621414558983,6123,6270,6401.634345048236,8,6241,1534,1135,908,2761,1115,7142.96,87.7787359862018,1.0240078392944636,-0.02149834150714296
2020,ORL,,0.9488483307171786,0.9949260641338462,6186,6092,6256.262250653546,8,6319,1528,911,920,2706,1182,6982.32,87.24893731596374,0.9848043970255416,-0.026553871751300726
2020,PHI,,0.8661520090881796,1.123610595603772,6004,6549,6495.700613304406,8,6167,1798,976,923,2939,1380,7011.12,93.40875637558621,1.0907728181212526,0.008877312907327442
2020,PHX,,0.8491813691676793,1.116315727429428,6121,6992,6621.999888902633,8,6254,1358,889,790,3077,1134,6950.52,100.59678988046936,1.142297010292436,0.060447657424827175
2020,POR,,0.8739628544265096,1.078642439601876,6371,6932,6972.357089803137,8,6449,1565,764,979,2928,1283,6922.6,100.13578713200242,1.0880552503531629,-0.0063344984779683975
2020,SAC,,0.8772841779079239,1.0857487511542,6165,6827,6610.1178847826795,8,6289,1580,932,848,3027,1194,7068.2,96.58753289380606,1.1073803730738037,0.03517958073273649
2020,SAS,,0.8554666163410651,1.1012301693200437,6329,6579,6673.541648679789,8,6414,1519,822,858,2968,1199,7046.36,93.36735562758645,1.0395007110127983,-0.014937849372695438
2020,TOR,,0.9449595526306216,1.0857485494803156,6125,6555,6517.851130899173,8,6277,1536,938,877,2828,1251,7013.84,93.45807717313198,1.070204081632653,0.006065121485849329
2020,UTA,,0.8712288445598154,1.1146836880688715,6148,6957,6751.309740600205,8,6238,1519,994,958,2923,1199,6942.36,100.21087929752994,1.131587508132726,0.033456450780708316
2020,WAS,,0.8870121434197702,1.0419858913767224,6377,6812,6589.569577524582,8,6449,1810,1098,870,3077,1392,7473.4,91.14994513875881,1.068213893680414,0.03488010388512119
2021,ATL,,0.8880395796832248,1.0972224127935764,7004,7653,7657.780626627693,8,7105,1843,1002,1021,3345,1495,7896.92,96.91120082259918,1.092661336379212,-0.0006825566287397176
2021,BKN,,0.8847534581234389,1.1361939899172673,6955,7572,7706.439537681464,8,7140,1751,1143,1063,3391,1417,7990.4400000000005,94.76324207427875,1.0887131560028755,-0.01932991195995164
2021,BOS,,0.928558065067266,1.0916945179715674,6866,7497,7376.287723693321,8,7065,1664,1129,1055,3302,1346,7871.16,95.24644398030277,1.0919021264200408,0.01758116462375169
2021,CHA,,0.9322450698705552,1.0769594206515887,7223,7905,7991.321495584185,8,7390,1686,1115,1104,3465,1271,8142.84,97.07915174558262,1.094420600858369,-0.011950920058726977
2021,CHI,,0.8783807638591328,1.0894303226214799,6892,7526,7551.950952815598,8,7008,1731,1029,928,3372,1400,7870.64,95.62119471859975,1.0919907138711549,-0.003765373304642731
2021,CLE,,0.8635624545210082,1.054851117441655,6576,7166,7272.212636612076,8,6844,1773,1193,1014,3212,1357,7803.12,91.83506084745589,1.089720194647202,-0.01615155666242025
2021,DAL,,0.870340816454534,1.1613665231645334,6710,7265,7371.827700115982,8,6861,1711,1000,962,3170,1314,7651.84,94.94448394111743,1.0827123695976155,-0.015920670658119557
2021,DEN,,0.9352837009718157,1.1206176575815623,6789,7613,7523.883359692205,8,6964,1742,1139,966,3363,1383,7903.48,96.32465698654265,1.1213728089556636,0.013126622522874507
2021,DET,,0.9293890025776232,1.0413990589430389,6961,6932,7172.707246954464,8,7142,1778,1123,1129,3086,1399,7918.32,87.54382242697946,0.9958339319063353,-0.03457940625692626
2021,GSW,,0.9154366731313502,1.133248975686456,6834,7606,7534.513607822584,8,6972,1715,1152,1022,3270,1308,7856.6,96.81032507700532,1.1129645888206028,0.010460402718381012
2021,HOU,,0.9503777736062009,1.0888895064945665,6811,7347,7559.95577803834,8,6966,2029,1400,1042,3188,1456,8216.76,89.4148058358769,1.0786962266921156,-0.03126644810429308
